,business_name,service_name,on,address,lat,lng,gu,dong,l_dong
8851,카페 2(CAFFE 2),일반음식점,영업,서울특별시 강남구 역삼동 785-14 studie 타워,37.4943591,127.0460856,강남구,신사,신사동
8852,차칸치킨&피자,일반음식점,영업,서울특별시 강남구 논현동 179-16,37.5076467,127.028902,강남구,역삼,역삼동
8853,정도식당,일반음식점,영업,서울특별시 강남구 도곡동 954-12,37.4854832,127.0349171,강남구,논현,논현동
8854,오므토토마토 삼성점,일반음식점,영업,서울특별시 강남구 대치동 956-1,37.5059053,127.0591904,강남구,도곡,도곡동
8855,코랄,일반음식점,영업,서울특별시 강남구 청담동 126-13,37.5258584,127.0515097,강남구,대치,대치동
8856,르므니에치즈전문점,일반음식점,영업,서울특별시 강남구 압구정동 429 현대백화점본점,37.5273268,127.0274265,강남구,청담,청담동
8857,용용선생 신사점,일반음식점,영업,서울특별시 강남구 신사동 512-16,37.517529,127.0208015,강남구,신사,신사동
8858,퓨전술집U,일반음식점,영업,서울특별시 강남구 역삼동 809-6,37.5036261,127.025643,강남구,논현,논현1동
8859,와세다식당,일반음식점,영업,서울특별시 강남구 수서동 724 로즈데일오피스텔,37.4871856,127.1026541,강남구,역삼,역삼동
8860,고봉밥상,일반음식점,영업,서울특별시 강남구 역삼동 642-16 성지하이츠Ⅱ,37.5009488,127.0355183,강남구,수서,수서동
8861,신사동 술집,일반음식점,영업,서울특별시 강남구 신사동 517-8,37.5187508,127.0213197,강남구,역삼,역삼동
8862,우찬,일반음식점,영업,서울특별시 강남구 논현동 3-6,37.5163569,127.0216786,강남구,논현,논현동
8863,아이스타,일반음식점,영업,서울특별시 강남구 논현동 99-6,37.5212142,127.0383372,강남구,논현,논현동
8864,밀각,일반음식점,영업,서울특별시 강남구 대치동 935,37.4981312,127.0542485,강남구,논현,논현동
8865,블랑제리 뵈르,일반음식점,영업,서울특별시 강남구 압구정동 494 갤러리아백화점,37.5271478,127.0334517,강남구,대치,대치동
8866,센도수산 진,일반음식점,영업,서울특별시 강남구 도곡동 412-7,37.4852269,127.0433334,강남구,압구,압구정동
8867,토핑스,일반음식점,영업,서울특별시 강남구 삼성동 119-9 케이빌딩,37.5123584,127.0532606,강남구,도곡,도곡동
8868,8번가,일반음식점,영업,서울특별시 강남구 역삼동 606-3,37.5068055,127.0333112,강남구,역삼,역삼동
8869,할리스 강남역2점,일반음식점,영업,서울특별시 강남구 역삼동 816,37.5003747,127.0269158,강남구,역삼,역삼동
8870,어글리퍼피,일반음식점,영업,서울특별시 강남구 신사동 644-11,37.5263681,127.0355504,강남구,역삼,역삼1동
8871,중앙실비,일반음식점,영업,서울특별시 강남구 논현동 241-3 에스케이 허브블루,37.5166861,127.0405907,강남구,신사,신사동
8872,강창구찹쌀진순대 대치역점,일반음식점,영업,서울특별시 강남구 대치동 316 은마아파트,37.4974176,127.0653272,강남구,논현,논현동
8873,토미타야,일반음식점,영업,서울특별시 강남구 논현동 61-15,37.5200357,127.0315306,강남구,대치,대치동
8874,청춘국물닭발(강남구청점),일반음식점,영업,서울특별시 강남구 논현동 108 논현웰스톤,37.5184174,127.0380027,강남구,논현,논현동
8875,프렛피온(PRETFEEON),일반음식점,영업,서울특별시 강남구 역삼동 735-17 역삼 푸르지오 시티,37.4981764,127.0336436,강남구,논현,논현동
8876,레스트 키친,일반음식점,영업,서울특별시 강남구 신사동 589 제이에스 빌딩,37.5024604,127.0392431,강남구,역삼,역삼동
8877,하늘빠,일반음식점,영업,서울특별시 강남구 신사동 537 석천빌딩,37.5279017,127.0377148,강남구,역삼,역삼1동
8878,카페 드 래더,일반음식점,영업,서울특별시 강남구 세곡동 612 세곡동 재활병원,37.466409,127.0997399,강남구,신사,신사동
8879,아츠클럽,일반음식점,영업,서울특별시 강남구 청담동 19-39,37.52277600000001,127.0437936,강남구,세곡,세곡동
8880,프랭크버거(도곡점),일반음식점,영업,서울특별시 강남구 도곡동 902-2,37.4864265,127.0381543,강남구,도곡,도곡동
8881,bereum(베름),일반음식점,영업,서울특별시 강남구 대치동 931-22,37.50074670000001,127.059549,강남구,대치,대치동
8882,샹볼뮈지니 역삼점,일반음식점,영업,서울특별시 강남구 역삼동 670-14,37.5033536,127.0380003,강남구,대치,대치동
8883,거기시켜 덮밥&간식&카페(논현점),일반음식점,영업,서울특별시 강남구 논현동 221-7 한양수자인 어반게이트,37.5096909,127.0334919,강남구,역삼,역삼동
8884,꼬르르(corrr),일반음식점,영업,서울특별시 강남구 신사동 543-7,37.5198339,127.0238832,강남구,논현,논현동
