,name,service_name,code,gu,dong,address_1,address_2,lat,lng
46,선샤인 관광호텔,관광숙박업,CDFI2260031988000004,강남구,신사동,"서울특별시 강남구 신사동 587-1번지 신사동 587-1, 6, 7","서울특별시 강남구 도산대로 205 (신사동, 선샤인 관광호텔)",37.5205118,127.0287493
47,엘리에나호텔,관광숙박업,CDFI2260031993000002,강남구,논현동,"서울특별시 강남구 논현동 152번지 외 4필지, 152-1, 2, 3, 4","서울특별시 강남구 논현로 645 (논현동, 뉴힐탑호텔)",37.5109129,127.0309883
48,노보텔 앰배서더 강남,관광숙박업,CDFI2260031993000003,강남구,역삼동,서울특별시 강남구 역삼동 603,"서울특별시 강남구 봉은사로 130 (역삼동, 노보텔 앰배서더 강남 서울)",37.5055121,127.0289196
49,라비타 호텔,관광숙박업,CDFI2260031994000001,강남구,청담동,서울특별시 강남구 청담동 132-17번지,서울특별시 강남구 영동대로 712 (청담동),37.5214381,127.0569461
50,뉴삼화호텔,관광숙박업,CDFI2260031998000001,강남구,신사동,서울특별시 강남구 신사동 527-2번지,"서울특별시 강남구 도산대로1길 83 (신사동, 까사미아호텔)",37.521989,127.0195488
51,인터컨티넨탈 서울 코엑스,관광숙박업,CDFI2260031999000001,강남구,삼성동,서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 511 (삼성동, 트레이드타워)",37.51032379999999,127.0610228
52,호텔 오크우드 프리미어,관광숙박업,CDFI2260032001000001,강남구,삼성동,서울특별시 강남구 삼성동 159번지,"서울특별시 강남구 영동대로 511 (삼성동, 트레이드타워)",37.51032379999999,127.0610228
53,파티오7,관광숙박업,CDFI2260032018000005,강남구,논현동,서울특별시 강남구 논현동 74 PATIO7,"서울특별시 강남구 논현로 736, PATIO7 (논현동)",37.5177813,127.0292272
54,화이트린넨하우스 호스텔,관광숙박업,CDFI2260032021000001,강남구,논현동,서울특별시 강남구 논현동 6-9,"서울특별시 강남구 논현로149길 40, 화이트린넨하우스 (논현동)",37.5177012,127.025271
55,에이든 청담호텔,관광숙박업,CDFI2260032018000007,강남구,논현동,서울특별시 강남구 논현동 60-8,서울특별시 강남구 도산대로 216 (논현동),37.5200179,127.0304813
56,호텔 크레센도 서울,관광숙박업,CDFI2260032018000006,강남구,삼성동,서울특별시 강남구 삼성동 113-5,서울특별시 강남구 봉은사로 428 (삼성동),37.510815,127.0469058
57,아난티 앳 강남,관광숙박업,CDFI2260032022000002,강남구,논현동,서울특별시 강남구 논현동 74-6,서울특별시 강남구 논현로 734 (논현동),37.5136787,127.0317124
58,호텔 인 나인,숙박업,3220000-201-2019-00001,강남구,삼성동,서울특별시 강남구 삼성동 91-28번지,"서울특별시 강남구 영동대로 618, 3층~18층 (삼성동)",37.5156913,127.059956
59,호텔리베라 아노블리,숙박업,3220000-201-2019-00002,강남구,청담동,서울특별시 강남구 청담동 91-2,"서울특별시 강남구 도산대로 419, 5층,6층,7층 (청담동)",37.5238674,127.0416279
60,안다즈 서울 강남(Andaz Seoul Gangnam),숙박업,3220000-201-2019-00003,강남구,신사동,서울특별시 강남구 신사동 603,"서울특별시 강남구 논현로 854, 지상3층~17층 (신사동)",37.5254187,127.028869
61,보코서울강남,숙박업,3220000-214-1979-00001,강남구,논현동,서울특별시 강남구 논현동 6,서울특별시 강남구 도산대로 144 (논현동),37.5176728,127.0246382
62,브라운도트 역삼,숙박업,3220000-201-2022-00001,강남구,역삼동,서울특별시 강남구 역삼동 677-16,"서울특별시 강남구 테헤란로37길 13-5, 지상1층~11층 (역삼동)",37.5028619,127.0402775
63,신라스테이 삼성,숙박업,3220000-201-2020-00001,강남구,삼성동,서울특별시 강남구 삼성동 168-3 유니온타,"서울특별시 강남구 영동대로 506, 유니온타 4~17층 (삼성동)",37.510056,127.063143
64,역삼아르누보씨티호텔앤레지던스,숙박업,3220000-214-2021-00003,강남구,역삼동,서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티,"서울특별시 강남구 언주로 506, 역삼 아르누보씨티 5,7,8,10,12,13,16,17층 (역삼동)",37.5033786,127.0428441
65,파티오세븐(PATIO7),숙박업,3220000-201-2018-00005,강남구,논현동,서울특별시 강남구 논현동 74,"서울특별시 강남구 논현로 736, 2~12층 (논현동)",37.5178074,127.0292557
66,블루밍하우스,숙박업,3220000-201-2021-00005,강남구,역삼동,서울특별시 강남구 역삼동 718-11,"서울특별시 강남구 테헤란로28길 3-4, 지상3~8층 (역삼동)",37.5008392,127.0389763
67,블루밍하우스,숙박업,3220000-214-2021-00002,강남구,역삼동,서울특별시 강남구 역삼동 718-11,"서울특별시 강남구 테헤란로28길 3-4, 지상9,10,11층 (역삼동)",37.5008392,127.0389763
68,역삼아르누보씨티,숙박업,3220000-214-2014-00001,강남구,역삼동,서울특별시 강남구 역삼동 701-1,"서울특별시 강남구 언주로 506 (역삼동, 지상5,7,8,10,12,13,16,17층(각층전체)역삼아르누보씨티)",37.5034178,127.0428249
69,리츠,숙박업,3220000-201-1981-00057,강남구,신사동,서울특별시 강남구 신사동 505-4번지,서울특별시 강남구 도산대로1길 61 (신사동),37.5206837,127.0189357
70,뉴성심장,숙박업,3220000-201-1979-00066,강남구,역삼동,서울특별시 강남구 역삼동 718-29번지,서울특별시 강남구 테헤란로34길 10 (역삼동),37.5007885,127.0400924
71,자이안트,숙박업,3220000-201-1987-00095,강남구,삼성동,서울특별시 강남구 삼성동 45-10번지,서울특별시 강남구 봉은사로 459 (삼성동),37.5124356,127.0496992
72,몽마르뜨여관,숙박업,3220000-201-1988-00163,강남구,역삼동,서울특별시 강남구 역삼동 719-13번지,서울특별시 강남구 언주로87길 30 (역삼동),37.5012367,127.0406747
73,프린세스호텔,숙박업,3220000-201-1982-00149,강남구,신사동,서울특별시 강남구 신사동 641-1,서울특별시 강남구 압구정로46길 17 (신사동),37.5274073,127.0366427
74,호텔 그라모스 서울강남,숙박업,3220000-201-2013-00003,강남구,역삼동,서울특별시 강남구 역삼동 677-21번지,"서울특별시 강남구 테헤란로33길 6-5, 지상1~10층 (역삼동)",37.5025518,127.0398718
75,인트로호텔,숙박업,3220000-201-2002-00008,강남구,역삼동,서울특별시 강남구 역삼동 677-14,서울특별시 강남구 테헤란로37길 13-11 (역삼동),37.5027531,127.0399236
76,제이에스무인호텔,숙박업,3220000-201-2003-00016,강남구,삼성동,서울특별시 강남구 삼성동 142-13번지,서울특별시 강남구 선릉로92길 37-5 (삼성동),37.5111656,127.0444218
77,그레이 호텔,숙박업,3220000-201-2001-00007,강남구,대치동,서울특별시 강남구 대치동 890-28번지,서울특별시 강남구 선릉로90길 46 (대치동),37.49459290000001,127.0729889
78,(주)선샤인호텔,숙박업,3220000-201-1988-00098,강남구,신사동,서울특별시 강남구 신사동 587-1번지,서울특별시 강남구 도산대로 205 (신사동),37.52054,127.0287465
79,멜리샤 호텔,숙박업,3220000-201-2002-00010,강남구,역삼동,서울특별시 강남구 역삼동 825-29,서울특별시 강남구 테헤란로2길 15 (역삼동),37.4972187,127.0293166
80,캘리포니아여관,숙박업,3220000-201-2002-00004,강남구,삼성동,서울특별시 강남구 삼성동 142-12번지,서울특별시 강남구 선릉로100길 52 (삼성동),37.5185909,127.0507369
81,(주)삼정관광호텔,숙박업,3220000-201-1982-00090,강남구,역삼동,서울특별시 강남구 역삼동 604-7 삼정관광호텔,"서울특별시 강남구 봉은사로 150, 삼정관광호텔 지상1,지상3~10층 (역삼동)",37.5058338,127.0311099
82,베스트 웨스턴 프리미어 강남호텔,숙박업,3220000-201-2004-00011,강남구,논현동,서울특별시 강남구 논현동 205-9번지,서울특별시 강남구 봉은사로 139 (논현동),37.5063633,127.0297944
83,신사애인호텔,숙박업,3220000-201-1982-00076,강남구,신사동,서울특별시 강남구 신사동 505-9번지,서울특별시 강남구 압구정로2길 2 (신사동),37.5213169,127.0191465
84,648호텔앤레지던스,숙박업,3220000-201-2004-00009,강남구,역삼동,서울특별시 강남구 역삼동 648-7,서울특별시 강남구 강남대로94길 56-4 (역삼동),37.499991,127.0318548
85,오월호텔(OWALL HOTEL),숙박업,3220000-201-2018-00002,강남구,역삼동,서울특별시 강남구 역삼동 723-3,"서울특별시 강남구 언주로85길 27, 지상3~지상9층 (역삼동)",37.5006034,127.0410859
86,엘르모텔,숙박업,3220000-201-2017-00002,강남구,역삼동,서울특별시 강남구 역삼동 677-20,"서울특별시 강남구 테헤란로33길 6-7, 2,3,6층 (역삼동)",37.5026211,127.0400977
87,호텔세느,숙박업,3220000-201-2018-00003,강남구,역삼동,서울특별시 강남구 역삼동 628-12번지 호텔 세느,"서울특별시 강남구 논현로 533, 호텔 세느 (역삼동)",37.50399,127.03533
88,바레,숙박업,3220000-201-1991-00120,강남구,역삼동,서울특별시 강남구 역삼동 719-23번지,서울특별시 강남구 테헤란로34길 9 (역삼동),37.5009238,127.0403603
89,강남캠퍼스호텔B동,숙박업,3220000-201-2016-00002,강남구,역삼동,서울특별시 강남구 역삼동 825-39번지,"서울특별시 강남구 테헤란로2길 11, 지하3~2,1~11층 (역삼동, 강남캠퍼스호텔B동)",37.4973743,127.0293119
90,강남캠퍼스호텔A동,숙박업,3220000-201-2016-00003,강남구,역삼동,서울특별시 강남구 역삼동 825-30번지,"서울특별시 강남구 테헤란로2길 13, 지하2,지상1~14층 (역삼동, 강남캠퍼스호텔A동)",37.497309,127.0291879
91,호텔야자강남논현점,숙박업,3220000-201-2003-00010,강남구,논현동,서울특별시 강남구 논현동 237-9번지,서울특별시 강남구 봉은사로37길 6 (논현동),37.5088477,127.0372391
92,렉스관광호텔,숙박업,3220000-201-2004-00003,강남구,논현동,서울특별시 강남구 논현동 18-2,서울특별시 강남구 강남대로 588 (논현동),37.5136787,127.0317124
93,호텔 올인,숙박업,3220000-201-1980-00165,강남구,논현동,서울특별시 강남구 논현동 118-7번지,서울특별시 강남구 학동로53길 3-4 (논현동),37.5172594,127.0399141
94,펜타리움,숙박업,3220000-201-2008-00001,강남구,청담동,"서울특별시 강남구 청담동 68-7번지 지상4,5층","서울특별시 강남구 영동대로 725 (청담동,지상4,5층)",37.5224607,127.0551204
95,호텔컬리넌대치,숙박업,3220000-201-2003-00006,강남구,대치동,서울특별시 강남구 대치동 891-35,서울특별시 강남구 테헤란로78길 14-16 (대치동),37.5051113,127.0542473
96,로또모텔,숙박업,3220000-201-2003-00019,강남구,역삼동,서울특별시 강남구 역삼동 703-3,서울특별시 강남구 테헤란로43길 12 (역삼동),37.5040916,127.0440287
97,호텔 컬리넌 역삼(HOTEL CULLINAN Yeoksam),숙박업,3220000-201-2013-00004,강남구,역삼동,서울특별시 강남구 역삼동 720-23번지 지하1층-지상10층,"서울특별시 강남구 언주로87길 11, 지하1층-지상10층층 (역삼동)",37.5013876,127.0420857
98,이비스스타일앰배서더강남,숙박업,3220000-201-2003-00013,강남구,대치동,서울특별시 강남구 대치동 893-1,서울특별시 강남구 삼성로 431 (대치동),37.5051111,127.0570687
