,brand,store,gu,dong,address_1,address_2,lat,lng
275,GS25,GS25학동공원점,강남구,논현동,논현1동 16-48,강남구 강남대로146길27,37.51526987,127.02234346
276,GS25,GS25학동제일점,강남구,논현동,"논현2동 88-5, 이룸빌딩",강남구 학동로33길7,37.51521855,127.03252481
277,GS25,GS25학동행복점,강남구,논현동,"논현동 215-3, 이세빌딩","강남구 학동로30길14, 1층",37.51321286,127.03187201
278,GS25,GS25한티단국점,강남구,대치동,대치동 1023-19,강남구 도곡로70길5,37.49700472,127.0565995
279,GS25,GS25한티역점,강남구,역삼동,역삼동 765-26,"강남구 도곡로325, 1층 일부",37.49617094,127.05149831
280,GS25,GS25학동공원점,강남구,논현동,논현1동 16-48,강남구 강남대로146길27,37.51526987,127.02234346
281,GS25,GS25학동제일점,강남구,논현동,"논현2동 88-5, 이룸빌딩",강남구 학동로33길7,37.51521855,127.03252481
282,GS25,GS25학동행복점,강남구,논현동,"논현동 215-3, 이세빌딩","강남구 학동로30길14, 1층",37.51321286,127.03187201
283,GS25,GS25한티단국점,강남구,대치동,대치동 1023-19,강남구 도곡로70길5,37.49700472,127.0565995
284,GS25,GS25한티역점,강남구,역삼동,역삼동 765-26,"강남구 도곡로325, 1층 일부",37.49617094,127.05149831
285,GS25,GS25현대압구정점,강남구,압구정동,압구정동 429,"강남구 압구정로165, B2",37.52731392,127.02743585
286,GS25,나만의냉장고,강남구,역삼동,역삼동 679,강남구 논현로508,37.50208899,127.03678844
287,CU,개포사랑점,강남구,개포동,서울특별시 강남구 선릉로10길 4,서울특별시 강남구 선릉로10길 4,37.4831042,127.0606611
288,CU,대청수성점,강남구,개포동,서울특별시 강남구 개포로109길 34,서울특별시 강남구 개포로109길 34,37.4942156,127.077617
289,CU,포이대원점,강남구,개포동,서울특별시 강남구 개포로22길 90,서울특별시 강남구 개포로22길 90,37.4750114,127.0527234
290,CU,포이점,강남구,개포동,서울특별시 강남구 개포로 233,서울특별시 강남구 개포로 233,37.47905739999999,127.0481149
291,CU,논현제일점,강남구,논현동,서울특별시 강남구 봉은사로33길 6 (논현동),서울특별시 강남구 봉은사로33길 6 (논현동),37.5084546,127.0358894
292,CU,강남거평점,강남구,논현동,서울특별시 강남구 봉은사로 129 거평타운 (논현동) 거평타운,서울특별시 강남구 봉은사로 129 거평타운 (논현동) 거평타운,37.5058765,127.0283552
293,CU,강남논현타운점,강남구,논현동,서울특별시 강남구 강남대로114길 25,서울특별시 강남구 강남대로114길 25,37.5062936,127.0263213
294,CU,논현APEX점,강남구,논현동,서울특별시 강남구 도산대로 158,서울특별시 강남구 도산대로 158,37.5184589,127.0260517
295,CU,논현SK점,강남구,논현동,서울특별시 강남구 학동로 342,서울특별시 강남구 학동로 342,37.5166861,127.0405907
296,CU,논현강남점,강남구,논현동,서울특별시 강남구 선릉로131길 25 1층,서울특별시 강남구 선릉로131길 25 1층,37.5171412,127.0389353
